Fiber,pCa,Act_percent,M_length,sarc_length,M_area,ISI,ISI_code,Cond_Amp,CA_code,SRS,SRS_UC,Impulse,Impulse_UC,back_L,back_F,backFpercentUC,F_tZero,SRS_CO,SRS_CO_UC,Impulse_CO,Impulse_CO_UC
12Dec2017a,9,0.863439126,0.0004299,2.62E-06,8.25E-10,0.001,a1,3.83,f383,52363.98438,61.36255296,325972.2156,96.30467957,0.000430052,2946.905212,107.7866129,2680.742005,25905.87908,30.35771429,336640.1878,99.45640724
12Dec2017a,9,0.863439126,0.0004299,2.62E-06,8.25E-10,0.001,a1,0,zero,85335.4071,100,338480.1414,100,0.000430023,2734.017828,100,2883.676957,85335.4071,100,338480.1414,100
12Dec2017a,9,0.863439126,0.0004299,2.62E-06,8.25E-10,0.001,a1,0.12,a12,76677.87149,89.85469701,339962.4957,100.4379443,0.000430059,3090.168754,113.0266497,2810.890732,76677.87149,89.85469701,339962.4957,100.4379443
12Dec2017a,9,0.863439126,0.0004299,2.62E-06,8.25E-10,0.001,a1,0.38,b38,59694.86004,69.9532141,345810.2119,102.1655836,0.000429885,2880.392951,105.3538467,3069.258592,59694.86004,69.9532141,345810.2119,102.1655836
12Dec2017a,9,0.863439126,0.0004299,2.62E-06,8.25E-10,0.001,a1,1.21,c121,34690.27228,40.65167491,318255.1307,94.02475709,0.000429646,2684.274545,98.18057941,2750.508799,51017.00298,59.7840975,297048.0656,87.75937765
12Dec2017a,9,0.863439126,0.0004299,2.62E-06,8.25E-10,0.1,c100,3.83,f383,73204.76984,85.78475492,337190.7218,99.61905607,0.000429561,2954.058475,108.0482521,2891.888201,73204.76984,85.78475492,337190.7218,99.61905607
12Dec2017a,9,0.863439126,0.0004299,2.62E-06,8.25E-10,0.316,d316,3.83,f383,61796.10237,72.41554762,321710.8183,95.04569958,0.000429871,2728.593111,99.80158442,2767.007162,61796.10237,72.41554762,321710.8183,95.04569958
12Dec2017a,9,0.863439126,0.0004299,2.62E-06,8.25E-10,1,e1000,3.83,f383,65002.02661,76.17239879,328955.6792,97.18610903,0.000430026,2497.035529,91.33208654,2867.866335,65002.02661,76.17239879,328955.6792,97.18610903
12Dec2017a,9,0.863439126,0.0004299,2.62E-06,8.25E-10,3.162,f3162,3.83,f383,74669.2572,87.50090933,320823.8431,94.78365313,0.000430085,2420.33642,88.52672413,2681.580553,74669.2572,87.50090933,320823.8431,94.78365313
12Dec2017a,9,0.863439126,0.0004299,2.62E-06,8.25E-10,10,g10000,3.83,f383,38285.06554,44.86422089,343568.5766,101.5033187,0.000429977,2886.355175,105.5719222,2918.991762,38285.06554,44.86422089,343568.5766,101.5033187
12Dec2017a,9,0.863439126,0.0004299,2.62E-06,8.25E-10,0.1,c100,0.12,a12,44800.47556,52.49928146,330718.8695,97.70702298,0.000429736,2811.411219,102.8307566,2865.065332,44800.47556,52.49928146,330718.8695,97.70702298
12Dec2017a,9,0.863439126,0.0004299,2.62E-06,8.25E-10,0.1,c100,0.38,b38,67363.46888,78.9396467,317507.6717,93.80392905,0.000429957,2448.358743,89.55167437,2679.670357,67363.46888,78.9396467,317507.6717,93.80392905
12Dec2017a,9,0.863439126,0.0004299,2.62E-06,8.25E-10,0.1,c100,1.21,c121,59878.85474,70.16882766,316253.6011,93.43342856,0.000429833,2500.976498,91.47623224,2615.609978,75248.38101,88.17955356,291293.8831,86.05937172
12Dec2017a,9,0.863439126,0.0004299,2.62E-06,8.25E-10,0.316,d316,0.12,a12,44621.71617,52.2898029,466052.1751,137.6896657,0.000429942,4379.090332,160.1705112,4499.759493,44621.71617,52.2898029,466052.1751,137.6896657
12Dec2017a,9,0.863439126,0.0004299,2.62E-06,8.25E-10,0.316,d316,0.38,b38,62759.84421,73.54490515,304543.8102,89.97390776,0.000429306,2452.003803,89.68499685,2562.704425,62759.84421,73.54490515,304543.8102,89.97390776
12Dec2017a,9,0.863439126,0.0004299,2.62E-06,8.25E-10,0.316,d316,1.21,c121,99037.38838,116.0566191,323599.0056,95.60354243,0.000429653,2680.586241,98.04567525,2660.445546,96965.58885,113.628788,295381.4179,87.26698609
12Dec2017a,9,0.863439126,0.0004299,2.62E-06,8.25E-10,1,e1000,0.12,a12,63629.00936,74.5634333,332349.5961,98.18880209,0.00042997,2956.482798,108.1369246,2820.639841,63629.00936,74.5634333,332349.5961,98.18880209
12Dec2017a,9,0.863439126,0.0004299,2.62E-06,8.25E-10,1,e1000,0.38,b38,90333.24029,105.8566934,344255.3187,101.7062086,0.000430043,3048.945101,111.5188449,2998.009382,90333.24029,105.8566934,344255.3187,101.7062086
12Dec2017a,9,0.863439126,0.0004299,2.62E-06,8.25E-10,1,e1000,1.21,c121,56945.94908,66.73191236,321728.1519,95.05082059,0.000430088,2767.143705,101.2116189,2668.61226,65625.03229,76.90246583,264962.2608,78.28000182
12Dec2017a,9,0.863439126,0.0004299,2.62E-06,8.25E-10,3.162,f3162,0.12,a12,81692.43682,95.73099794,311691.3489,92.08556448,0.000429596,2200.379204,80.48152361,2545.028596,81692.43682,95.73099794,311691.3489,92.08556448
12Dec2017a,9,0.863439126,0.0004299,2.62E-06,8.25E-10,3.162,f3162,0.38,b38,44370.69495,51.99564455,309146.8913,91.33383424,0.000429878,2285.642551,83.60013339,2580.114449,44370.69495,51.99564455,309146.8913,91.33383424
12Dec2017a,9,0.863439126,0.0004299,2.62E-06,8.25E-10,3.162,f3162,1.21,c121,61562.37172,72.14165117,304046.8521,89.8270873,0.000429952,2311.876871,84.55968527,2536.083596,78838.37562,92.38647625,243524.965,71.94660344
