Fiber,pCa,Act_percent,SRS_no_Cond,SRS_Cond,SRS_UC,Impulse_no_Cond,Impulse_Cond,Impulse_UC
12Dec2017a,9,0.863439126,85335.4071,52363.98438,61.362553,338480.1414,325972.2156,96.3046796
12Dec2017a,6.4,1.115833878,109848.5966,179988.3826,163.8513265,496683.5114,451702.343,90.9436961
12Dec2017a,6.2,2.170035368,245312.0385,363833.7131,148.3146589,1043560.479,791965.9662,75.8907588
12Dec2017a,6,26.82772219,5065323.735,2643845.027,52.1949863,14154511.1,7961123.329,56.2444246
12Dec2017a,4.5,92.33454967,9817428.342,9657758.471,98.373608,35704860.78,27783952.58,77.8156026
13Dec2017a,9,0.853855271,96508.28623,59827.94381,61.9925461,273401.6547,234337.1407,85.7116761
13Dec2017a,6.6,2.846498517,257056.5405,200330.4162,77.932433,753540.6888,426674.5505,56.6226292
13Dec2017a,6.4,16.13751888,2178296.31,1092203.459,50.1402612,4897945.924,1925447.068,39.3113174
13Dec2017a,6.3,39.25861979,6046540.84,2755432.531,45.5703948,12087741.1,5022697.852,41.5519973
13Dec2017a,4.5,90.59215032,7282201.201,6332313.645,86.956038,21648188.77,15838549.62,73.1633939
13Dec2017b,9,1.671364553,117569.543,123077.1072,104.6845162,378308.6394,346716.5392,91.6491201
13Dec2017b,6.4,6.478255784,229490.7536,187086.2495,81.5223474,704118.3043,464056.5781,65.9060523
13Dec2017b,6.3,22.27410299,950594.2886,627876.0236,66.0508938,2448614.921,1261087.38,51.5020704
13Dec2017b,6.1,41.393369,1660016.416,1207323.88,72.729635,4899393.879,3058516.152,62.426419
13Dec2017b,4.5,102.5770374,7282201.201,6332313.645,86.956038,21648188.77,15838549.62,73.1633939
14Dec2017a,9,1.646055282,74629.15766,79450.78834,106.4607867,305985.5655,276172.4282,90.2566851
14Dec2017a,6.6,2.847588265,169846.3232,161190.8256,94.9039241,568378.2973,375267.1519,66.0241874
14Dec2017a,6.4,6.11287683,384621.7148,356544.4249,92.7000248,1235008.062,695574.6949,56.32147
14Dec2017a,6.3,15.89908724,1532703.169,1248789.065,81.47625,4426178.263,2077334.114,46.9329067
14Dec2017b,9,0.889485649,86719.22819,81760.34219,94.2816765,227737.4462,190049.6074,83.4511893
14Dec2017b,6.4,7.536984731,619935.9572,417424.657,67.3335128,1719407.332,787335.7325,45.7911117
14Dec2017b,6.3,27.78228836,3462552.407,1545662.477,44.6393959,7119954.609,2605306.147,36.5916117
14Dec2017b,6.2,43.28319421,5072056.547,2671665.632,52.6742083,10766489.03,5157770.221,47.905777
14Dec2017b,6.1,57.97023863,5719071.897,3834385.901,67.0455971,13896716.13,8411678.002,60.5299693
14Dec2017b,4.5,85.50978814,6241408.144,5418011.637,86.8075202,17803060.45,12994870.14,72.9923385
18Dec2017a,9,1.852153114,45301.89747,63190.15037,139.486763,185570.7685,177561.5261,95.6839956
18Dec2017a,6.6,2.627227843,97400.63586,87669.22446,90.0088831,336972.9959,239431.5145,71.0536207
18Dec2017a,6.4,7.101358624,430426.0964,254018.6615,59.0156274,1206295.664,560245.0905,46.4434307
18Dec2017a,6.3,33.60670864,2652686.037,1199932.845,45.2346349,5573986.008,2135607.725,38.3138336
18Dec2017a,6.2,35.86413118,2927865.544,1539032.315,52.5649929,6401840.106,2966878.098,46.3441456
18Dec2017a,6.1,51.10858387,3569725.316,2347002.946,65.7474382,8740798.558,5091425.743,58.248977
18Dec2017a,4.5,91.38761332,4189993.893,3780891.994,90.2362173,12209786.81,9014516.823,73.8302557
18Dec2017b,9,1.134330429,89649.87615,97540.58758,108.8016981,278347.3156,265112.3495,95.2451612
18Dec2017b,6.4,7.326045678,683465.7582,473572.8825,69.2899208,1915125.54,926542.2402,48.3802352
18Dec2017b,6.3,19.92073989,2864662.916,1445654.46,50.465081,6354335.576,2711232.48,42.6674425
18Dec2017b,6.2,36.40765593,5017693.97,2780882.872,55.4215321,11278796.89,5439236.225,48.2253229
18Dec2017b,6.1,53.79148314,5824923.778,3986485.607,68.4384167,15302785.53,9374371.094,61.2592464
18Dec2017b,4.5,89.54556082,4849813.378,3728576.581,76.8808259,15508936.99,10979852.25,70.7969364
19Dec2017a,9,1.964958239,63517.05855,81432.84588,128.206261,283575.5959,267397.8987,94.2951025
19Dec2017a,6.6,4.102166608,183528.1175,150622.8917,82.0707441,565308.2371,379472.87,67.1267187
19Dec2017a,6.3,36.81237733,2893572.386,1427781.548,49.3432117,5987990.902,2598832.369,43.4007401
19Dec2017a,6.2,44.23945892,3376635.791,1978586.207,58.5963761,7468570.757,3977456.898,53.2559311
19Dec2017a,4.5,94.05545406,3993902.549,3651144.527,91.4179673,12087680.57,9172899.883,75.8863525
6Aug2018a,9,0.275943096,277971.0547,317439.5396,114.1987751,935909.5385,886336.6833,94.7032429
6Aug2018a,6.6,7.450601685,637607.1099,622090.4073,97.5664163,1815721.102,1191232.858,65.6065988
6Aug2018a,6.4,11.01217256,944292.6005,915177.0376,96.91668,2594335.51,1594159.877,61.4477145
6Aug2018a,6.2,37.13483472,3497502.95,3454089.281,98.7587239,8703114.958,5270156.391,60.5548291
6Aug2018a,6,59.9627037,6518706.47,5966601.289,91.5304488,15597622.88,10301309.97,66.044102
6Aug2018b,9,0.633303227,205777.9132,197784.9537,96.115735,591547.9769,579100.3475,97.8957532
6Aug2018b,6.6,8.967155518,255319.6946,227346.8531,89.0439938,708961.8795,572939.2991,80.8138372
6Aug2018b,6.2,19.48662529,451825.0914,433596.1652,95.9654905,1304198.36,895324.0365,68.6493761
6Aug2018b,6,38.39764457,804931.4728,852733.8124,105.9386844,2479180.701,1637394.647,66.0457968
6Aug2018b,4.5,100,2043250.954,1761473.932,86.2093777,6559340.024,4555746.512,69.4543429
7Aug2018a,9,0.294816964,167596.5355,168858.3493,100.7528878,565096.5089,536538.6456,94.9463741
7Aug2018a,6.6,6.4898723,272909.9281,259448.1219,95.067308,860709.0069,596116.0375,69.2587196
7Aug2018a,6.4,12.54123753,468074.5358,466967.4395,99.7634786,1508922.442,938959.8667,62.2271789
7Aug2018a,6.2,29.35840619,1172544.33,1212123,103.3754519,3478571.196,2249686.554,64.6727184
7Aug2018a,6,59.85697438,2549883.364,2458889.235,96.4314396,7470954.272,5052103.509,67.6232691
7Aug2018a,4.5,92.8178239,2549883.364,2458889.235,96.4314396,7470954.272,5052103.509,67.6232691
